group_id,post_id,text,views,likes,comments,reposts,post_datetime,photo_links,hashtags,category,main_entity_group
162413784,1412793,"🔻Kakao готовит к запуску фан-платформу, которая может стать конкурентом Weverse

Kakao бросает вызов Weverse, крупнейшей фан-платформе в Корее. Компания создает сервис, который позволит глобальным фанатам потреблять контент артистов K-pop и взаимодействовать с ними. 

Это шаг, сделанный в рамках амбициозной цели Kakao по увеличению доли доходов с зарубежных рынков до 30%. 

С учетом того, что компания также владеет сильным K-контентом, включая SM Entertainment, многие считают, что они могут составить конкуренцию на рынке фан-платформ. Однако юридические риски, связанные с этим, остаются неопределенными.

6-го числа источники в IT-отрасли сообщили, что Kakao Entertainment недавно провели внутренние тестирования своей глобальной фан-платформы Berriz. 

Ранее, в прошлом году, было создано специальное подразделение по разработке фан-платформы, а руководители Kakao Entertainment, Kwon Su и Jang Yoon Jung, активно координируют этот процесс.

Платформа будет предоставлять артистам возможность делиться контентом (живыми трансляциями, концертами, постами) и общаться с фанатами, а также продавать товары с использованием интеллектуальной собственности артистов. 

Представители компании подтвердили, что работа по запуску продолжается, однако детали и точные сроки выпуска не были раскрыты.

Это заявление привлекло внимание, так как может создать новую конкурентную динамику на рынке фан-платформ. 

На данный момент лидерство на рынке удерживает Weverse, платформа, принадлежащая HYBE. В 2023 году её аудитория выросла до 10 миллионов пользователей в месяц, а доходы значительно увеличились. 

Единственным конкурентом на данный момент остаётся сервис Bubble от SM Entertainment, который предлагает более узкий формат общения между артистами и фанатами. 

Однако, несмотря на успехи, разрыв между Bubble и Weverse всё ещё велик.

Ключевое преимущество Kakao это возможность активно использовать артистов из своих дочерних компаний, таких как SM Entertainment (aespa, NCT), Starship Entertainment (IVE) и другие. 

Компания также активно расширяет свои связи в международном музыкальном бизнесе, сотрудничая с крупными западными и китайскими музыкальными платформами.

Berriz ориентирован на международную аудиторию. Ожидается, что платформа будет поддерживать несколько языков и включать функцию автоматического перевода. 

Глобальный рынок фан-платформ имеет огромный потенциал. По оценкам IBK Investment Securities, в 2020 году фан-экономика оценивалась в 7,9 триллиона вон, и с тех пор, вероятно, значительно выросла, поскольку интерес к K-pop продолжает расти.

Однако растущий рынок не гарантирует успех нового сервиса. Примером может служить опыт других IT-компаний, таких как Naver, которые в 2022 году продали V Live, а NCSoft в 2023 году продала Universe. 
Это показывпет, что для успеха в этой индустрии необходимо иметь стабильный рост пользователей и успешную дифференциацию продукта.

Однако для Kakao важным моментом является сотрудничество с SM Entertainment, что может быть затруднено юридическими рисками, связанными с компанией.

#nws #kakao #sm #hybe #weverse",3174,84,27,18,2025-01-06 12:59:13,"https://sun9-51.userapi.com/s/v1/ig2/UolUMADOiwd0kAnUe9VZ2GMAqMVbAKgTVSB1KZmPVw-DQy6IYmomPSXqLmXXajtuzTtRMYLyV4JTDqs1gVONfM1j.jpg?quality=95&as=32x20,48x30,72x45,108x67,160x100,240x150,360x225,480x300,540x337,640x400,720x450,1000x625&from=bu&u=hyCVTPMtABeCkUw5ATTXGx8CRG0vZHvgOAEa8mitN6k&cs=1000x625, https://sun9-6.userapi.com/s/v1/ig2/touw5U13m16aG6EMlonaPuDohCcVGsTiqaJO9k_MwYHP-F4cjDwR3TGrFkc5YjXVcTsFaY1SvCF34iq7PA3YAsOd.jpg?quality=95&as=32x17,48x25,72x38,108x57,160x84,240x126,360x189,480x252,540x283,640x336,720x378,1080x567,1200x630&from=bu&u=9meRvhY9YBLdu0nKGQNbUi6tiPoBA9fnq1OJjnGLJcA&cs=1200x630","#nws, #kakao, #sm, #hybe, #weverse",4,"SM Entertainment, aespa, NCT, IVE, HYBE, Weverse"
162413784,1412789,"🔻 Деятельность NewJeans по расписанию ADOR официально завершена

Пять участниц NewJeans Minji, Hanni, Daniel, Haerin и Hyein завершили большинство своих запланированных активностей с агентством ADOR. С момента уведомления агентства о прекращении их эксклюзивных контрактов не было назначено новых расписаний. Участницы NewJeans теперь находятся во “времени дилеммы”. 

Если они продолжат свою деятельность, они не смогут использовать имя “NewJeans”. Если же они решат приостановить деятельность, неясно, как долго может продлиться этот перерыв. 

Если они решат продолжить работу, это приведет к увеличению штрафов, так как их действия будут расцениваться как нарушение контракта. Эта ситуация накладывает значительные юридические обязательства на пятерых участницы.

Источник из индустрии заявил:

“Понимается, что некоторые бывшие менеджеры, которые уволились из ADOR, поддерживают независимые действия NewJeans. Хотя у них пока нет своей компании, кажется, что они формируют новую команду, независимую от ADOR.”

После завершения большинства своих существующих активностей по контракту с ADOR, внимание обращено на их дальнейшие шаги.

“Любые будущие активности NewJeans будут являться нарушением их эксклюзивного контракта. В то время как NewJeans заявляют о расторжении их эксклюзивного контракта, их позиция значительно отличается от позиции ADOR, и поскольку этот вопрос еще не решен юридически, действия группы находятся на критическом этапе.

В этом случае нарушения контракта будут продолжать накапливаться, что увеличит штрафы, которые NewJeans, вероятно, придется заплатить. Судебный процесс неизбежен, и участницы NewJeans сталкиваются с серьезным финансовым риском из-за этих потенциальных штрафов.”

#nws #contrvrs_nws #newjeans #ador",5175,190,47,45,2025-01-06 12:46:22,"https://sun9-18.userapi.com/s/v1/ig2/bw1p6Pun8XFmY_zgI6fy_FIqORuTTBLyxU753jXqbeyWVZxgp3ImFxS3A8zz2oBbDX4_HRPLfdlmdwJV18k4DdG9.jpg?quality=95&as=32x21,48x32,72x48,108x72,160x107,240x160,360x240,480x320,540x360,640x427,720x480,1080x720,1280x853,1440x960,1800x1200&from=bu&u=LyWpnL9jxFQOG7gtKK1BFzm56D_vuw6s3S25s9ggNpU&cs=1800x1200","#nws, #contrvrs_nws, #newjeans, #ador",1,"NewJeans, -"
162413784,1412782,"🔻Актеры Hyun Bin и Son Ye Jin сделали пожертвование

Пара объявила, что пожертвовала в общей сложности 300 миллионов корейских вон (примерно 225 000 долларов США) на поддержку различных дел. Пожертвование было разделено, и по 150 миллионов корейских вон (примерно 112 500 долларов США) каждая часть пошла в фонды развития педиатрических и акушерских отделений в больнице Асан и больнице Самсунг.

#nws #personal_nws #hyunbin #sonyejin",4387,193,0,2,2025-01-06 12:25:00,"https://sun9-62.userapi.com/s/v1/ig2/UpRDf850B8hXbbQ3F8QnTeTtOISfqDv2lYTcdkAsqjJH9SBvH9z1r9_P31p6-cNF0LKmmT_G71KzBOtkW4z11xew.jpg?quality=95&as=32x40,48x60,72x90,108x135,160x200,240x300,360x450,480x600,540x675,640x800,720x900,736x920&from=bu&u=b0vsgJYXF9-6uW9kDxw7O7KZ0z9ET2uD5pBUAvBVG78&cs=736x920","#nws, #personal_nws, #hyunbin, #sonyejin",8,-
162413784,1412778,"🔻Park Seo Joon подтвердил участие в новой романтической комедии

6 января съемочная группа подтвердила участие Park Seo Joon в новой дораме JTBC «В ожидании Gyeong Do» (рабочее название).

«В ожидании Gyeong Do» — новая романтическая комедия о бывших возлюбленных Lee Gyeong Do и Seo Ji Woo, которые впервые встретились и влюбились в возрасте двадцати лет. Их пути неожиданно пересекаются снова в непредвиденный момент их жизни, что приводит к серии событий, наполненных романтикой и юмором.

Park Seo Joon сыграет Lee Gyeong Do.
Lee Gyeong Do-общительный офисный работник с приземленной личностью, не эксцентричный и не необычный. Его жизнь принимает хаотичный оборот, когда он воссоединяется со своей бывшей девушкой Seo Ji Woo, с которой у него когда-то были страстные отношения, после того, как ее муж оказывается вовлечённым в скандал с изменой.

#nws #actor_nws #parkseojoon",3299,111,1,3,2025-01-06 12:06:14,"https://sun9-58.userapi.com/s/v1/ig2/lylIDhiKTrMkKc9CTi9B4Y2943_Oidxr64ikMMDF8znboEQiVW1D69l95kO0ziWgl_NYKWLkHwdSoq985DZ_mair.jpg?quality=95&as=32x21,48x32,72x48,108x72,160x107,240x160,360x240,480x320,540x360,640x427,720x480,900x600&from=bu&u=vFxEXwfvOcpT8FNqpnfmlP5Ne9-ZpshbZilvkZVwItE&cs=900x600","#nws, #actor_nws, #parkseojoon",8,-
162413784,1412769,"🔻Актер Kim Jung Hyun не будет продлевать контракт с Story J Company

6 января компания Story J Company объявила, что эксклюзивный контракт Kim Jung Hyun истекает в феврале и что они решили не продлевать его.

Кim Jung Hyun подписал контракт с Story J Company в сентябре 2021 года.
 В настоящее время он снимается в сериале KBS2 «Iron Family»

#nws #actor_nws #kimjunghyun",2995,71,0,2,2025-01-06 11:53:33,"https://sun9-14.userapi.com/s/v1/ig2/nlsMvPdS019OS5aN9awYwaCaenpNvVAE4EaiJutJY78RcMYY87PESDJFRw8WdMNXZmYoCgrJRGfjOxkGECyYs_xE.jpg?quality=95&as=32x21,48x32,72x48,108x72,160x107,240x160,360x240,480x320,540x360,640x427,720x480,900x600&from=bu&u=HSvh6PPeQ2siqtTi_HJtOC6ZanUC-hS_jclbZQvhDZM&cs=900x600","#nws, #actor_nws, #kimjunghyun",8,-
162413784,1412744,"💝 Eric (Shinhwa) и Na Hye Mi ждут второго ребенка

6 января агентство Eric TOP Media объявило: «Eric и Na Hye Mi ожидают второго ребенка этой весной».

Eric и Na Hye Mi поженились в 2017 году, а в марте 2023 года у них родился первый ребенок.

#nws #personal_nws #eric #shinhwa #nahyemi",3347,121,1,4,2025-01-06 11:19:27,"https://sun9-1.userapi.com/s/v1/ig2/cWuJXRaCiYUA3e5Z97PD2nDY_E3-WPjO4scaQF8IO4uWN4cz0ch83Ca-69pm3Ol6biLdSj60yWV7fL9BmzqU38zJ.jpg?quality=95&as=32x21,48x32,72x48,108x72,160x107,240x160,360x240,480x320,540x360,640x427,720x480,900x600&from=bu&u=tcI-Wu5Wbi40NSB-CBSPD1obmT9RKlmjIiIwAVCVE3c&cs=900x600","#nws, #personal_nws, #eric, #shinhwa, #nahyemi",2,"Eric, Shinhwa"
162413784,1412684,"🔻Бывшая сотрудница ADOR опровергла ложные слухи в СМИ о своём отсутствии на медиации 

Это заявление стало необходимым, так как ранее распространялись слухи в СМИ, что сотрудница А не явились на медиацию.

Бывшая сотрудница А написала на своей странице в Instagram* следующее:

""Сегодня я присутствовала на судебном заседании по делу о медиации в рамках иска о гражданском ущербе против Min Hee Jin.

(Пишу это, чтобы прояснить ситуацию, так как были ложные сообщения о том, что я якобы отсутствовала)

С их стороны присутствовал только адвокат.

Другая сторона заявила, что не может принять ни одного из наших требований, поэтому соглашение не было достигнуто.

Увидимся в суде😌""

* Instagram (Meta) - организация, признанная экстремистской и запрещенная в РФ

#nws #contrvrs_nws #minheejin",7003,254,60,26,2025-01-06 10:04:58,"https://sun9-31.userapi.com/s/v1/ig2/ncqHMNyH34EaFOPAgNbGzI8XPlgeeaIhT4Pibn9-juao2bMYc_nbVoyD3uJc-vn_ZQtwS55XJcMUYjQLAT8FLbX2.jpg?quality=95&as=32x61,48x92,72x137,108x206,160x305,240x458,360x687,480x916,540x1031,640x1222,720x1374,943x1800&from=bu&u=sG-WnHx4ARQbfDipCuMPb1e0nVIocutDRXrGWHrOT5s&cs=943x1800","#nws, #contrvrs_nws, #minheejin",3,Min Hee Jin
162413784,1412667,"🔻Медиация по делу Мin Hee Jin и бывшей сотрудницы ADOR провалилась

Сторона А заявила, что готова была согласиться на медиацию, если бывший генеральный директор Мin Hee Jin признает свою неправоту и принесет извинения, повторив ту же позицию во время заседания. 

Они пояснили, что независимо от денежной компенсации, они были готовы к медиации, если Мin выразит сожаление за «одностороннюю позицию, раскрытие частных юридических вопросов и разговоров без согласия, а также другие подобные действия».

Однако представитель Мin Hee Jin кратко выразил её позицию, заявив, что она не намерена участвовать в медиации. Было подтверждено, что сторона Мin заявила посреднику, что «не признаёт никаких обвинений, выдвинутых стороной А».

Сторона А утверждает, что подверглась сексуальным домогательствам со стороны бывшего заместителя генерального директора ADOR во время работы в компании в прошлом году и обвиняет Мin Hee Jin в попытке скрыть этот инцидент. 

После того как Мin выпустила официальное заявление, отвергая обвинения и публично критикуя профессиональную деятельность стороны А, последняя подала жалобы против Мin Hee Jin в августе того же года в полицейский участок Мапо в Сеуле, обвинив её в клевете и нарушении закона о защите персональных данных.

#nws #contrvrs_nws #minheejin",6493,165,45,21,2025-01-06 09:43:29,"https://sun9-74.userapi.com/s/v1/ig2/iJE5fCHVPS24fEgGcFs0LbTQO4eGZcbhQXxsmTdcKuwEhoF0_PsvEbz3rUDz1CQv54imNmncyhhiWKVVa2y7ZVP2.jpg?quality=95&as=32x21,48x31,72x47,108x71,160x105,240x157,360x235,480x314,540x353,640x418,658x430&from=bu&u=WDydfxIJyEUVuN5sO6RN8Mma19W-dwWZ1jjZIsjnSgk&cs=658x430","#nws, #contrvrs_nws, #minheejin",1,"Min Hee Jin, ADOR"
162413784,1412666,"🔻ADOR объявляет глобальное прослушивание

Подать заявку могут все, кто родился в 2006 году или позже, независимо от пола и национальности.

#nws #general_nws #ador",3987,121,25,20,2025-01-06 09:40:36,"https://sun9-61.userapi.com/s/v1/ig2/uuqugZyy60BIdicXrmJZKmxR68kF0uBHU-mzh1IjSWfpym8iucAhCedlmMmzwv7FnINWcqqLW_OzyQZax_kMMGy7.jpg?quality=95&as=32x18,48x27,72x40,108x61,160x90,240x135,360x202,480x270,540x304,640x360,720x405,1080x607,1280x720,1440x810,2048x1152&from=bu&u=nBvR2JmSVmdOsKblfcYDaUvlUQ1UAVdcyPFe1UInq1M&cs=2048x1152","#nws, #general_nws, #ador",7,-
162413784,1412607,"🔻NTX представили официальный лайтстик

#nws #general_nws #ntx",6506,150,2,10,2025-01-05 19:27:52,"https://sun9-44.userapi.com/s/v1/ig2/hSRYlVT5-vfDbBS0QmWqCzbrgT-cfC-a-mTldnRg9qKUKG8ABkh1OSMMaY0zDoEqKAJ8pagpvcvcKWK-rMOXvZgl.jpg?quality=95&as=32x44,48x67,72x100,108x150,160x222,240x333,360x500,480x666,540x750,640x889,720x1000,1080x1500,1280x1777,1440x1999,1475x2048&from=bu&u=Al6muXZY5g_4s-y7qbpqCE_XaiA0fs-CmB7bTBV0yFk&cs=1475x2048, https://sun9-38.userapi.com/s/v1/ig2/_YN_nutdE45XZZTHKLwbkPUc_T1ByB8TgE9F3B4CUZGj6r-6awqAJmq6iwqUq29gBQcKX6OxHC1mhwHSdBApJsxH.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x719,540x809,640x959,720x1079,1080x1619,1280x1919,1440x2158,1441x2160&from=bu&u=DA1RezVZT4nMtgLrwHKC2peN1F7f0kQzVM7ROT46Njc&cs=1441x2160","#nws, #general_nws, #ntx",5,NTX
